RiesgoNormalizado,CiudadNormalizada,MesFecha,Sector,TrabDep,TrabInd,AccTraCal
2,1,6,5,6339,268,6
2,1,6,6,62087,592,363
2,1,6,7,65715,953,303
2,1,6,8,112366,2523,477
2,1,6,8,380,6,3
2,1,6,17,17376,3053,119
2,1,6,17,11494,2362,68
2,1,6,17,74961,2641,177
3,1,6,2,2946,260,231
3,1,6,3,41121,958,185
3,1,6,3,5761,405,18
3,1,6,4,4146,573,26
3,1,6,6,9344,46,72
3,1,6,7,211193,5175,1413
3,1,6,8,146314,5133,915
3,1,6,8,190,5,1
3,1,6,8,696,406,2
3,1,6,17,25999,3096,214
3,1,6,17,92517,34168,590
3,1,6,17,37121,2551,252
4,1,6,2,3075,106,26
4,1,6,3,26324,257,131
4,1,6,3,16239,846,80
4,1,6,4,5609,135,19
4,1,6,7,33708,1256,229
4,1,6,8,203613,1004,570
4,1,6,8,537,10,3
4,1,6,8,220,2,2
4,1,6,17,1447,129,19
4,1,6,17,163635,43294,822
5,1,6,1,29565,3542,264
5,1,6,2,479,25,2
5,1,6,3,3842,199,15
5,1,6,3,235804,7731,1428
5,1,6,7,31962,1947,272
5,1,6,8,121747,6118,795
5,1,6,8,62048,1696,310
5,1,6,17,502,181,5
5,1,6,17,4198,151,27
5,1,6,17,14439,528,91
1,2,3,1,21908,384,59
1,2,3,2,1262,586,11
1,2,3,3,79628,880,232
1,2,3,4,55018,7994,158
1,2,3,5,48134,1849,64
1,2,3,6,11893,117,53
1,2,3,7,4969,69,6
1,2,3,8,164658,5846,283
1,2,3,9,2673,132,47
1,2,3,17,30031,2422,113
1,2,3,17,11162,31,41
1,2,3,17,5434,206,4
2,2,3,1,2441,593,8
2,2,3,2,43421,293,756
2,2,3,3,40674,311,225
2,2,3,3,183,6,2
2,2,3,5,129,20,9
2,2,3,6,22306,104,182
2,2,3,7,50598,331,288
2,2,3,8,29222,564,208
2,2,3,8,287,2,5
2,2,3,17,829,693,38
2,2,3,17,4749,457,33
2,2,3,17,12898,270,58
